p,k
1.0, 90.54912231300774
1.3263612777831597, 89.7245064453432
1.7406488388969583, 88.32946945951016
2.2842722113240237, 85.08621445534034
2.9976183127836404, 80.81205592496504
3.9336178993811437, 75.1021112026229
5.161663444750496, 67.62989890167671
6.772770239051448, 58.75539368827932
8.96883223602561, 48.32665097132208
11.373895779938982, 38.7905863485505
14.027591086828643, 29.80868356732645
16.67064572914895, 22.685003025785974
19.090795924309237, 17.298404274671295
21.593571183363174, 13.080548655037587
24.124498297186054, 9.885566387711883
26.952625074639627, 7.58703012146101
30.484903510586122, 5.574804655929264
33.915498707371874, 3.9897644006431094
37.57871593189267, 2.950802445761844
41.466453679788984, 2.182372336017074
45.19503818179707, 1.628543810780803
48.65546572132199, 1.2433971913752573
52.37634005440248, 0.8902468971409649
56.38251627296704, 0.6437810126361978
59.9505199069607, 0.46996346754884205
61.93551594430709, 0.35487304164132377
65.04672354566331, 0.2606049722548509
67.58500133287754, 0.18812170929916167
70.77447734160046, 0.13058443101124306
74.31785323228755, 0.08513792330657767
77.49239205130418, 0.05704481742659454
79.79067091753039, 0.04142235402526639
83.380154003157, 0.02896013847585903
84.90381525056812, 0.021069829118856367
86.8103258884802, 0.015091271126111657
97.77717066069303, 0.01055084458542271
99.44133866643075, 0.007697536602513273
104.35475721041044, 0.005824275937719195
117.54688985888185, 0.004308373291085341
137.97520306635644, 0.003205524110497537
161.96063751002242, 0.002462246436031119
192.48187913197816, 0.0019097652032385806
231.5970675449798, 0.0014724639866659226
278.6690102707848, 0.0011597964161042384
339.457573293385, 0.0008749445942885591
418.65330881805676, 0.0006667930754875895
509.9910495318736, 0.0005128089707644805
621.2559774982103, 0.0003943847801722124
756.7880436156781, 0.0003010504966797162
888.3982387518873, 0.0002414016307729129
1122.9958463240891, 0.00017437390199254795
1367.9838262631674, 0.0001329081525100624
1666.4140040757784, 0.00010115158446823239
2029.963953612493, 0.00007744440082450796
2472.832013730187, 0.00005938221926715703
3012.3065431883338, 0.0000453967426413377
3669.4731626542825, 0.00003470507279581695
4470.025536161533, 0.000026610887559371164
5445.241696757344, 0.00002043500867460284
6633.192193590377, 0.000015645597752799014
8080.4227506758625, 0.000012104670112213142
9722.457372433775, 0.000009313017654958577
12597.063587675297, 0.000006615026076075892
15345.338712139835, 0.000005079804833481839
18693.161896487796, 0.00000389505349960333
22771.364532466123, 0.000002986619026143415
27739.290203648437, 0.0000022900566598713664
33791.04576298719, 0.0000017559519508563353
41163.08547816083, 0.000001346415268995736
49530.04850919875, 0.0000010700658552555389
